2023-02-12 22:02:662 INFO  HomePage :69 - Clicking on More Search Option link [[ChromeDriver: chrome on WINDOWS (2ae43d4bb508ebdd587882ee1fc2f209)] -> xpath: //button[@id='toggle-hp-search']]
2023-02-12 22:02:144 INFO  HomePage :73 - click on min salary [[ChromeDriver: chrome on WINDOWS (2ae43d4bb508ebdd587882ee1fc2f209)] -> xpath: //input[@id='salarymin']]
2023-02-12 22:02:261 INFO  HomePage :77 - click on max salary [[ChromeDriver: chrome on WINDOWS (2ae43d4bb508ebdd587882ee1fc2f209)] -> xpath: //input[@id='salarymax']]
2023-02-12 22:02:324 INFO  HomePage :81 - click on salary type [[ChromeDriver: chrome on WINDOWS (2ae43d4bb508ebdd587882ee1fc2f209)] -> xpath: //select[@id='salarytype']]
2023-02-12 22:02:459 INFO  HomePage :85 - click on job type[[ChromeDriver: chrome on WINDOWS (2ae43d4bb508ebdd587882ee1fc2f209)] -> xpath: //select[@id='tempperm']]
2023-02-12 22:02:591 INFO  HomePage :89 - Clicking on Find Jobs Button[[ChromeDriver: chrome on WINDOWS (2ae43d4bb508ebdd587882ee1fc2f209)] -> xpath: //input[@id='hp-search-btn']]
2023-02-12 22:02:401 INFO  HomePage :56 - click on job titleQA Analyst
2023-02-12 22:02:455 INFO  HomePage :60 - Click on Location Harrowgate
2023-02-12 22:02:658 INFO  HomePage :64 - clicking on distance[[ChromeDriver: chrome on WINDOWS (cbbd476c30fa58665c52ea86b7bea110)] -> xpath: //select[@id='distance']]
2023-02-12 22:02:956 INFO  HomePage :69 - Clicking on More Search Option link [[ChromeDriver: chrome on WINDOWS (cbbd476c30fa58665c52ea86b7bea110)] -> xpath: //button[@id='toggle-hp-search']]
2023-02-12 23:02:522 INFO  HomePage :56 - click on job titleTester
2023-02-12 23:02:734 INFO  HomePage :60 - Click on Location Harrow
2023-02-12 23:02:217 INFO  HomePage :64 - clicking on distance[[ChromeDriver: chrome on WINDOWS (71cc0cd44489c29de4a9ba024100b6dc)] -> xpath: //select[@id='distance']]
2023-02-12 23:02:343 INFO  HomePage :69 - Clicking on More Search Option link [[ChromeDriver: chrome on WINDOWS (71cc0cd44489c29de4a9ba024100b6dc)] -> xpath: //button[@id='toggle-hp-search']]
2023-02-12 23:02:701 INFO  HomePage :73 - click on min salary [[ChromeDriver: chrome on WINDOWS (71cc0cd44489c29de4a9ba024100b6dc)] -> xpath: //input[@id='salarymin']]
2023-02-12 23:02:899 INFO  HomePage :77 - click on max salary [[ChromeDriver: chrome on WINDOWS (71cc0cd44489c29de4a9ba024100b6dc)] -> xpath: //input[@id='salarymax']]
2023-02-12 23:02:979 INFO  HomePage :81 - click on salary type [[ChromeDriver: chrome on WINDOWS (71cc0cd44489c29de4a9ba024100b6dc)] -> xpath: //select[@id='salarytype']]
2023-02-12 23:02:99 INFO  HomePage :85 - click on job type[[ChromeDriver: chrome on WINDOWS (71cc0cd44489c29de4a9ba024100b6dc)] -> xpath: //select[@id='tempperm']]
2023-02-12 23:02:254 INFO  HomePage :89 - Clicking on Find Jobs Button[[ChromeDriver: chrome on WINDOWS (71cc0cd44489c29de4a9ba024100b6dc)] -> xpath: //input[@id='hp-search-btn']]
2023-02-12 23:02:66 INFO  HomePage :56 - click on job titleDevelopment Manager
2023-02-12 23:02:295 INFO  HomePage :60 - Click on Location Wembley
2023-02-12 23:02:838 INFO  HomePage :64 - clicking on distance[[ChromeDriver: chrome on WINDOWS (ea41a4050b6d9f0b4dd75b22aa4e5c9a)] -> xpath: //select[@id='distance']]
2023-02-12 23:02:49 INFO  HomePage :69 - Clicking on More Search Option link [[ChromeDriver: chrome on WINDOWS (ea41a4050b6d9f0b4dd75b22aa4e5c9a)] -> xpath: //button[@id='toggle-hp-search']]
2023-02-12 23:02:411 INFO  HomePage :73 - click on min salary [[ChromeDriver: chrome on WINDOWS (ea41a4050b6d9f0b4dd75b22aa4e5c9a)] -> xpath: //input[@id='salarymin']]
2023-02-12 23:02:557 INFO  HomePage :77 - click on max salary [[ChromeDriver: chrome on WINDOWS (ea41a4050b6d9f0b4dd75b22aa4e5c9a)] -> xpath: //input[@id='salarymax']]
2023-02-12 23:02:678 INFO  HomePage :81 - click on salary type [[ChromeDriver: chrome on WINDOWS (ea41a4050b6d9f0b4dd75b22aa4e5c9a)] -> xpath: //select[@id='salarytype']]
2023-02-12 23:02:771 INFO  HomePage :85 - click on job type[[ChromeDriver: chrome on WINDOWS (ea41a4050b6d9f0b4dd75b22aa4e5c9a)] -> xpath: //select[@id='tempperm']]
2023-02-12 23:02:909 INFO  HomePage :89 - Clicking on Find Jobs Button[[ChromeDriver: chrome on WINDOWS (ea41a4050b6d9f0b4dd75b22aa4e5c9a)] -> xpath: //input[@id='hp-search-btn']]
2023-02-12 23:02:325 INFO  HomePage :56 - click on job titleTester
2023-02-12 23:02:511 INFO  HomePage :60 - Click on Location Harrow
2023-02-12 23:02:971 INFO  HomePage :64 - clicking on distance[[ChromeDriver: chrome on WINDOWS (986c6452bb2fcfd5e1d1c3977eb84068)] -> xpath: //select[@id='distance']]
2023-02-12 23:02:169 INFO  HomePage :69 - Clicking on More Search Option link [[ChromeDriver: chrome on WINDOWS (986c6452bb2fcfd5e1d1c3977eb84068)] -> xpath: //button[@id='toggle-hp-search']]
2023-02-12 23:02:576 INFO  HomePage :73 - click on min salary [[ChromeDriver: chrome on WINDOWS (986c6452bb2fcfd5e1d1c3977eb84068)] -> xpath: //input[@id='salarymin']]
2023-02-12 23:02:681 INFO  HomePage :77 - click on max salary [[ChromeDriver: chrome on WINDOWS (986c6452bb2fcfd5e1d1c3977eb84068)] -> xpath: //input[@id='salarymax']]
2023-02-12 23:02:740 INFO  HomePage :81 - click on salary type [[ChromeDriver: chrome on WINDOWS (986c6452bb2fcfd5e1d1c3977eb84068)] -> xpath: //select[@id='salarytype']]
2023-02-12 23:02:848 INFO  HomePage :85 - click on job type[[ChromeDriver: chrome on WINDOWS (986c6452bb2fcfd5e1d1c3977eb84068)] -> xpath: //select[@id='tempperm']]
2023-02-12 23:02:971 INFO  HomePage :89 - Clicking on Find Jobs Button[[ChromeDriver: chrome on WINDOWS (986c6452bb2fcfd5e1d1c3977eb84068)] -> xpath: //input[@id='hp-search-btn']]
2023-02-12 23:02:121 INFO  HomePage :56 - click on job titleDevelopment Manager
2023-02-12 23:02:395 INFO  HomePage :60 - Click on Location Wembley
2023-02-12 23:02:59 INFO  HomePage :56 - click on job titleTester
2023-02-12 23:02:331 INFO  HomePage :60 - Click on Location Harrow
2023-02-12 23:02:20 INFO  HomePage :64 - clicking on distance[[ChromeDriver: chrome on WINDOWS (c7d8017ae7446e328329cefcb3e48b0d)] -> xpath: //select[@id='distance']]
2023-02-12 23:02:287 INFO  HomePage :69 - Clicking on More Search Option link [[ChromeDriver: chrome on WINDOWS (c7d8017ae7446e328329cefcb3e48b0d)] -> xpath: //button[@id='toggle-hp-search']]
2023-02-12 23:02:679 INFO  HomePage :73 - click on min salary [[ChromeDriver: chrome on WINDOWS (c7d8017ae7446e328329cefcb3e48b0d)] -> xpath: //input[@id='salarymin']]
2023-02-12 23:02:816 INFO  HomePage :77 - click on max salary [[ChromeDriver: chrome on WINDOWS (c7d8017ae7446e328329cefcb3e48b0d)] -> xpath: //input[@id='salarymax']]
2023-02-12 23:02:929 INFO  HomePage :81 - click on salary type [[ChromeDriver: chrome on WINDOWS (c7d8017ae7446e328329cefcb3e48b0d)] -> xpath: //select[@id='salarytype']]
2023-02-12 23:02:104 INFO  HomePage :85 - click on job type[[ChromeDriver: chrome on WINDOWS (c7d8017ae7446e328329cefcb3e48b0d)] -> xpath: //select[@id='tempperm']]
2023-02-12 23:02:315 INFO  HomePage :89 - Clicking on Find Jobs Button[[ChromeDriver: chrome on WINDOWS (c7d8017ae7446e328329cefcb3e48b0d)] -> xpath: //input[@id='hp-search-btn']]
2023-02-12 23:02:294 INFO  HomePage :56 - click on job titleDevelopment Manager
2023-02-12 23:02:589 INFO  HomePage :60 - Click on Location Wembley
2023-02-12 23:02:765 INFO  HomePage :64 - clicking on distance[[ChromeDriver: chrome on WINDOWS (12f5b1823d262ce1014e568574ab2e2c)] -> xpath: //select[@id='distance']]
2023-02-12 23:02:284 INFO  HomePage :69 - Clicking on More Search Option link [[ChromeDriver: chrome on WINDOWS (12f5b1823d262ce1014e568574ab2e2c)] -> xpath: //button[@id='toggle-hp-search']]
2023-02-12 23:02:674 INFO  HomePage :73 - click on min salary [[ChromeDriver: chrome on WINDOWS (12f5b1823d262ce1014e568574ab2e2c)] -> xpath: //input[@id='salarymin']]
2023-02-12 23:02:886 INFO  HomePage :77 - click on max salary [[ChromeDriver: chrome on WINDOWS (12f5b1823d262ce1014e568574ab2e2c)] -> xpath: //input[@id='salarymax']]
2023-02-12 23:02:45 INFO  HomePage :81 - click on salary type [[ChromeDriver: chrome on WINDOWS (12f5b1823d262ce1014e568574ab2e2c)] -> xpath: //select[@id='salarytype']]
2023-02-12 23:02:162 INFO  HomePage :85 - click on job type[[ChromeDriver: chrome on WINDOWS (12f5b1823d262ce1014e568574ab2e2c)] -> xpath: //select[@id='tempperm']]
2023-02-12 23:02:390 INFO  HomePage :89 - Clicking on Find Jobs Button[[ChromeDriver: chrome on WINDOWS (12f5b1823d262ce1014e568574ab2e2c)] -> xpath: //input[@id='hp-search-btn']]
2023-02-13 00:02:173 INFO  HomePage :57 - click on job titleTester
2023-02-13 00:02:280 INFO  HomePage :61 - Click on Location Harrow
2023-02-13 00:02:334 INFO  HomePage :65 - clicking on distance[[ChromeDriver: chrome on WINDOWS (04819f111ec72df9b4bd95ebcc4440d7)] -> xpath: //select[@id='distance']]
2023-02-13 00:02:744 INFO  HomePage :70 - Clicking on More Search Option link [[ChromeDriver: chrome on WINDOWS (04819f111ec72df9b4bd95ebcc4440d7)] -> xpath: //button[@id='toggle-hp-search']]
2023-02-13 00:02:839 INFO  HomePage :74 - click on min salary [[ChromeDriver: chrome on WINDOWS (04819f111ec72df9b4bd95ebcc4440d7)] -> xpath: //input[@id='salarymin']]
2023-02-13 00:02:69 INFO  HomePage :78 - click on max salary [[ChromeDriver: chrome on WINDOWS (04819f111ec72df9b4bd95ebcc4440d7)] -> xpath: //input[@id='salarymax']]
2023-02-13 00:02:139 INFO  HomePage :82 - click on salary type [[ChromeDriver: chrome on WINDOWS (04819f111ec72df9b4bd95ebcc4440d7)] -> xpath: //select[@id='salarytype']]
